chave,palavra
CERVEJAS,CERV
CERVEJAS,CERVEJA
CERVEJAS,HEINEKEN
CERVEJAS,SKOL
CERVEJAS,BRAHMA
CERVEJAS,ANTARCTICA
CERVEJAS,BUDWEISER
CERVEJAS,CORONA
CERVEJAS,STELLA
VINHOS,VINHO
VINHOS,ESPUMANTE
VINHOS,CHAMPAGNE
VINHOS,PROSECCO
BEBIDAS_NAO_ALCOOLICAS,REFRIGERANTE
BEBIDAS_NAO_ALCOOLICAS,REFRI
BEBIDAS_NAO_ALCOOLICAS,SUCO
BEBIDAS_NAO_ALCOOLICAS,NECTAR
BEBIDAS_NAO_ALCOOLICAS,NÉCTAR
BEBIDAS_NAO_ALCOOLICAS,AGUA
BEBIDAS_NAO_ALCOOLICAS,ENERGETICO
BEBIDAS_NAO_ALCOOLICAS,ISOTONICO
BEBIDAS_NAO_ALCOOLICAS,COCA
BEBIDAS_NAO_ALCOOLICAS,GUARANA
BEBIDAS_NAO_ALCOOLICAS,FANTA
BEBIDAS_NAO_ALCOOLICAS,SPRITE
BEBIDAS_NAO_ALCOOLICAS,CHA 
BEBIDAS_NAO_ALCOOLICAS,CHÁ
BEBIDAS_NAO_ALCOOLICAS,BEB MISTA
BEBIDAS_NAO_ALCOOLICAS,BEB.
BEBIDAS_NAO_ALCOOLICAS,NATURAL ONE
BEBIDAS_NAO_ALCOOLICAS,DEL VALLE
BEBIDAS_NAO_ALCOOLICAS,TONICA
BEBIDAS_NAO_ALCOOLICAS,KAPO
BEBIDAS_NAO_ALCOOLICAS,TODDYNHO
BEBIDAS_NAO_ALCOOLICAS,BEB LACTEA
BEBIDAS_NAO_ALCOOLICAS,BEB. LACTEA
BEBIDAS_NAO_ALCOOLICAS,ACHCOLATADO
BEBIDAS_NAO_ALCOOLICAS,ACHOCOLATADO
BEBIDAS_NAO_ALCOOLICAS,ICE SMIRNOFF
BEBIDAS_NAO_ALCOOLICAS,SMIRNOFF ICE
SANDUICHES,SANDUICHE
SANDUICHES,SANDUÍCHE
SANDUICHES,HAMBURGUER
SANDUICHES,HAMBÚRGUER
REFEICOES,REFEICAO
REFEICOES,REFEIÇÃO
REFEICOES,MARMITA
REFEICOES,PRATO FEITO
REFEICOES,NHOQUE
REFEICOES,FILE 
REFEICOES,FILÉ 
HORTFRUTI,BANANA
HORTFRUTI,MACA
HORTFRUTI,MAÇÃ
HORTFRUTI,LARANJA
HORTFRUTI,TOMATE
HORTFRUTI,ALFACE
HORTFRUTI,CENOURA
HORTFRUTI,BATATA
HORTFRUTI,FRUTA
HORTFRUTI,VERDURA
CONGELADOS,CONGELADO
CONGELADOS,SORVETE
CONGELADOS,PICOLÉ
CONGELADOS,PICOLE
CONGELADOS,NUGGET
CONGELADOS,EMPANADO
CONGELADOS,SADIA
CONGELADOS,SEARA
RESFRIADOS,IOGURTE
RESFRIADOS,DANONE
RESFRIADOS,REQUEIJAO
RESFRIADOS,REQUEIJÃO
RESFRIADOS,MARGARINA
RESFRIADOS,MANTEIGA
RESFRIADOS,FRIOS
RESFRIADOS,PRESUNTO
RESFRIADOS,QUEIJO
RESFRIADOS,LEITE LV
RESFRIADOS,LEITE UHT
RESFRIADOS,CR LEITE
RESFRIADOS,CREME DE LEITE
HIGIENE,SHAMPOO
HIGIENE,SHP 
HIGIENE,CONDICIONADOR
HIGIENE,SABONETE
HIGIENE,CREME DENTAL
HIGIENE,CR. DENTAL
HIGIENE,CR DENTAL
HIGIENE,DESODORANTE
HIGIENE,DESOD.
HIGIENE,DESOD 
HIGIENE,ABSORVENTE
HIGIENE,ABS 
HIGIENE,FRALDA
HIGIENE,LENCO
HIGIENE,LENÇO
HIGIENE,PAPEL HIGIENICO
HIGIENE,PAPEL HIGIÊNICO
HIGIENE,HID LABIAL
HIGIENE,ALGODAO
HIGIENE,ALGODÃO
HIGIENE,PRESTOBARBA
HIGIENE,APAR. BARBA
HIGIENE,APAR BARBA
HIGIENE,FIO DENTAL
HIGIENE,ENXAGUANTE
HIGIENE,CURATIVO
HIGIENE,BAND AID
HIGIENE,BAND-AID
HIGIENE,REPELENTE
HIGIENE,REMOVEDOR
HIGIENE,ALCOOL
HIGIENE,ÁLCOOL
LIMPEZA_BAZAR,DETERGENTE
LIMPEZA_BAZAR,DESINFETANTE
LIMPEZA_BAZAR,AMACIANTE
LIMPEZA_BAZAR,AMAC 
LIMPEZA_BAZAR,SABAO
LIMPEZA_BAZAR,SABÃO
LIMPEZA_BAZAR,ALVEJANTE
LIMPEZA_BAZAR,ESPONJA
LIMPEZA_BAZAR,PAPEL TOALHA
LIMPEZA_BAZAR,PAPEL ALUMINIO
LIMPEZA_BAZAR,PAPEL ALUMÍNIO
LIMPEZA_BAZAR,LIMPADOR
LIMPEZA_BAZAR,LIMP MULTIUSO
LIMPEZA_BAZAR,LAVA LOUCA
LIMPEZA_BAZAR,LAVA-LOUCA
LIMPEZA_BAZAR,LAVA-LOUÇA
LIMPEZA_BAZAR,AGUA SANITARIA
LIMPEZA_BAZAR,ÁGUA SANITÁRIA
LIMPEZA_BAZAR,VEJA 
LIMPEZA_BAZAR,YPE
LIMPEZA_BAZAR,YPÊ
LIMPEZA_BAZAR,SACO DE LIXO
LIMPEZA_BAZAR,FOSFORO
LIMPEZA_BAZAR,FÓSFORO
BARRINHAS_NUTS,BARRINHA
BARRINHAS_NUTS,BARRA DE CEREAL
BARRINHAS_NUTS,NUTS
BARRINHAS_NUTS,CASTANHA
BARRINHAS_NUTS,AMENDOIM
BARRINHAS_NUTS,MIX NUTS
BARRINHAS_NUTS,BOLD SACHE
BARRINHAS_NUTS,BOLD BARRA
BARRINHAS_NUTS,BOLD CRUNCH
BARRINHAS_NUTS,BOLD TUBE
BARRINHAS_NUTS,BOLD 
SALGADINHOS,SALGADINHO
SALGADINHOS,BATATA CHIPS
SALGADINHOS,DORITOS
SALGADINHOS,RUFFLES
SALGADINHOS,FANDANGOS
SALGADINHOS,CHEETOS
SALGADINHOS,PRINGLES
SALGADINHOS,PIPOC
SALGADINHOS,TORCIDA
SALGADINHOS,KELECK
SALGADINHOS,POINT BACON
SALGADINHOS,BIC SODIO
SALGADINHOS,BIC SÓDIO
SALGADINHOS,CROCANTISSIMO
SALGADINHOS,CROCANTÍSSIMO
DOCES_IMPULSO,CHOCOLATE
DOCES_IMPULSO,CHOC 
DOCES_IMPULSO,BALA
DOCES_IMPULSO,CHICLETE
DOCES_IMPULSO,CHICLE
DOCES_IMPULSO,GOMA
DOCES_IMPULSO,BOMBOM
DOCES_IMPULSO,WAFER
DOCES_IMPULSO,BISCOITO
DOCES_IMPULSO,BISC 
DOCES_IMPULSO,BISC
DOCES_IMPULSO,OREO
DOCES_IMPULSO,TRENTO
DOCES_IMPULSO,BUZZY
DOCES_IMPULSO,FREEGELLS
DOCES_IMPULSO,DOCE
DOCES_IMPULSO,PIRULITO
DOCES_IMPULSO,MARSHMALLOW
DOCES_IMPULSO,PACOCA
DOCES_IMPULSO,PAÇOCA
DOCES_IMPULSO,DROPS
DOCES_IMPULSO,HALLS
DOCES_IMPULSO,TRIDENT
DOCES_IMPULSO,BOLINHO
DOCES_IMPULSO,BAUDUCCO
DOCES_IMPULSO,COOKIES
DOCES_IMPULSO,WAFFLE
DOCES_IMPULSO,TWIX
DOCES_IMPULSO,TUBES
DOCES_IMPULSO,TUBINHOS
DOCES_IMPULSO,FINI
DOCES_IMPULSO,TABLETE
DOCES_IMPULSO,NESTLE
DOCES_IMPULSO,CLUB SOCIAL
DOCES_IMPULSO,MENTOS
DOCES_IMPULSO,NUTELLA
DOCES_IMPULSO,AVELA
DOCES_IMPULSO,AVELÃ
MERCEARIA,ACUCAR
MERCEARIA,AÇÚCAR
MERCEARIA,ARROZ
MERCEARIA,FEIJAO
MERCEARIA,FEIJÃO
MERCEARIA,OLEO
MERCEARIA,ÓLEO
MERCEARIA,FARINHA
MERCEARIA,MACARRAO
MERCEARIA,MACARRÃO
MERCEARIA,MAC INST
MERCEARIA,CUP NOODLES
MERCEARIA,MOLHO
MERCEARIA,KETCHUP
MERCEARIA,MAIONESE
MERCEARIA,MOSTARDA
MERCEARIA,TEMPERO
MERCEARIA,CAFE
MERCEARIA,CAFÉ
MERCEARIA,CAPPUCCINO
MERCEARIA,LEITE COND
MERCEARIA,LEITE PO
MERCEARIA,LEITE PÓ
MERCEARIA,LEITE DE COCO
MERCEARIA,ATUM
MERCEARIA,SARDINHA
MERCEARIA,MILHO
MERCEARIA,ERVILHA
MERCEARIA,AZEITE
MERCEARIA,AZEITONA
MERCEARIA,VINAGRE
MERCEARIA,CALDO
MERCEARIA,COND 
MERCEARIA,CONDIMENTO
MERCEARIA,ORÉGANO
MERCEARIA,OREGANO
MERCEARIA,CANELA
MERCEARIA,PIM 
MERCEARIA,PIMENTA
MERCEARIA,SAL 
MERCEARIA,PAO 
MERCEARIA,PÃO 
MERCEARIA,RAP10
MERCEARIA,ADOCANTE
MERCEARIA,ADOÇANTE
